Lat,Lng,Year,Month,Severity
-4.35,55.65,1998,2,3
-4.27,55.73,1998,,2
-4.33,55.87,1998,,2
-4.28,55.87,1998,,2
-4.63,55.50,1998,,2
-4.62,55.50,1998,,2
-4.35,55.83,1998,,2
-7.03,52.76,1998,2,-1
-4.60,55.47,1998,,1
-9.31,50.71,1998,2,3
-7.01,52.73,1998,2,3
-4.32,55.73,1998,,2
-9.38,51.05,1998,,3
-9.54,51.00,1998,4,2
-4.33,55.72,1998,4,3
-4.65,55.48,1998,5,3
-4.50,55.50,1998,,3
-9.33,50.73,1998,2,3
-9.32,51.72,1998,,1
-9.25,51.04,1998,4,3
-9.21,51.04,1998,4,3
-4.60,55.50,1998,,2
-4.62,55.37,1998,,3
13.04,-59.52,1986,,2
13.04,-59.52,1998,9,2
13.28,-59.65,2005,9,-1
13.06,-59.48,2005,9,-1
18.99,-68.80,2010,1,0
12.11,-61.75,2010,9,-1
16.37,-61.65,1998,,3
16.37,-61.65,1999,,3
16.25,-61.83,1998,,3
16.43,-61.54,2007,4,1
17.90,-62.85,1998,,-1
14.40,-61.20,1998,,3
5.54,125.22,1998,,3
17.46,-63.22,1999,12,1
17.49,-63.23,1999,12,1
17.49,-63.23,1999,12,1
12.08,-68.22,1998,9,2
12.18,-68.31,2005,9,0
12.18,-68.30,1987,,3
12.18,-68.30,1998,8,1
12.18,-68.30,1979,,2
12.18,-68.30,1992,6,2
12.24,-68.24,1998,8,2
12.10,-68.94,2005,9,0
12.22,-69.09,2009,9,0
12.22,-69.09,2009,4,0
12.10,-68.97,1987,,1
17.47,-62.99,1999,12,1
17.46,-62.99,1999,12,1
17.46,-62.99,1999,12,1
17.46,-62.99,1999,12,1
17.46,-62.98,1999,12,1
17.46,-62.97,1999,12,1
17.46,-62.98,1999,12,1
17.46,-62.98,1999,12,1
17.46,-62.98,1999,12,1
17.46,-62.98,1999,12,2
12.05,-68.27,1992,6,1
17.46,-62.98,2008,5,1
17.63,-63.22,1999,12,1
17.62,-63.23,1999,12,1
17.62,-63.26,1999,12,1
17.62,-63.26,1999,12,1
17.63,-63.26,1999,12,1
17.63,-63.26,1999,12,1
17.63,-63.26,1999,12,1
17.64,-63.25,1999,12,1
17.65,-63.23,1999,12,1
12.05,-68.87,1987,,-1
18.00,-63.06,1999,11,2
18.01,-63.01,1999,12,2
12.27,-68.42,1998,,0
17.00,-62.00,2007,4,-1
13.51,-61.40,2005,6,3
13.83,-61.07,1998,,3
13.83,-61.00,1987,,-1
12.63,-61.35,2003,10,1
11.17,-60.86,2005,10,-1
11.18,-60.88,2005,10,3
11.33,60.56,2009,12,3
11.31,-60.52,2005,10,-1
11.27,-60.65,1987,,-1
11.27,-60.65,1998,,-1
11.00,-60.00,2010,,1
11.00,-60.00,2010,,-1
18.73,-64.32,1979,,1
18.50,-64.50,1979,,-1
18.38,-64.48,2005,9,3
18.43,-64.52,2005,9,3
18.66,-64.26,2005,10,-1
18.35,-64.58,2005,9,3
18.45,-64.63,2005,10,3
18.48,-64.40,1998,,2
46.67,-37.45,2005,9,0
16.72,-88.07,2000,7,1
16.72,-88.07,2000,7,-1
17.18,-88.08,1998,9,2
18.03,-87.88,1995,,3
18.03,-87.88,1998,,1
17.83,-87.98,2007,5,3
18.03,-87.87,2003,10,3
18.00,-87.90,1998,9,3
18.00,-87.90,1999,10,1
17.34,87.54,2004,8,1
16.79,-87.69,1998,10,2
17.09,-88.00,1998,10,2
17.00,-88.01,1998,9,2
17.32,-88.00,1995,9,-1
17.32,-88.00,1998,,3
17.32,-88.00,1998,,3
17.35,-88.27,1998,9,3
16.77,-88.16,1999,5,1
17.27,-87.82,1998,9,2
16.80,-88.08,1995,,2
16.67,-88.17,1998,,2
17.16,-87.91,2000,7,-1
17.16,-87.91,2000,7,-1
17.67,-88.01,2000,7,1
17.67,-88.02,2000,7,-1
16.60,-88.20,1998,10,3
16.63,-88.13,1998,11,3
16.87,-88.12,1998,9,3
16.62,-88.23,1998,9,2
16.60,-88.23,1998,,-1
16.60,-88.23,1998,9,3
16.78,-88.08,1999,5,1
16.77,-88.07,1998,11,1
16.77,-88.07,1998,10,2
17.59,-87.74,2000,7,-1
17.57,-87.74,2000,7,-1
17.59,-87.75,2000,7,-1
17.57,-87.74,2000,7,-1
17.92,-87.95,1999,5,1
17.49,-88.05,1998,9,2
17.48,-88.05,1998,9,2
16.53,-87.97,2000,7,-1
16.53,-87.98,2000,7,-1
16.80,-87.77,1998,,3
16.80,-87.77,1998,9,3
